claim_title,claim_desc,impact_domain,domain_definition,advanced_characteristic,score,evidence_note,assessment_type,vector_category,dataset_version,assessment_date,threat_vector_id
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Truth Integrity,Assessment of threat impact on truth integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,90
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Spiritual Integrity,Assessment of threat impact on spiritual integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,91
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Cognitive Integrity,Assessment of threat impact on cognitive integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,92
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Temporal Integrity,Assessment of threat impact on temporal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,93
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Privacy Integrity,Assessment of threat impact on privacy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,94
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Security Integrity,Assessment of threat impact on security integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,95
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Democratic Integrity,Assessment of threat impact on democratic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,96
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Economic Integrity,Assessment of threat impact on economic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,97
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Cultural Integrity,Assessment of threat impact on cultural integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,98
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Educational Integrity,Assessment of threat impact on educational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,99
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Scientific Integrity,Assessment of threat impact on scientific integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,100
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Institutional Integrity,Assessment of threat impact on institutional integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,101
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Legal Integrity,Assessment of threat impact on legal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,102
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Ethical Integrity,Assessment of threat impact on ethical integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,103
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Environmental Integrity,Assessment of threat impact on environmental integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,104
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Technological Integrity,Assessment of threat impact on technological integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,105
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Communication Integrity,Assessment of threat impact on communication integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,106
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Memory Integrity,Assessment of threat impact on memory integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,107
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Identity Integrity,Assessment of threat impact on identity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,108
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Autonomy Integrity,Assessment of threat impact on autonomy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,109
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Trust Integrity,Assessment of threat impact on trust integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,110
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Transparency Integrity,Assessment of threat impact on transparency integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,111
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Accountability Integrity,Assessment of threat impact on accountability integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,112
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Human Dignity Integrity,Assessment of threat impact on human dignity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,113
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Future Integrity,Assessment of threat impact on future integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,114
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Global Integrity,Assessment of threat impact on global integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,115
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Evolutionary Integrity,Assessment of threat impact on evolutionary integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,116
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Existential Integrity,Assessment of threat impact on existential integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,117
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Consciousness Integrity,Assessment of threat impact on consciousness integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,118
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Reality Integrity,Assessment of threat impact on reality integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,119
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Stealth Factor,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,120
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Cascade Potential,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,121
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Adaptation Rate,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,122
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Dependency Creation,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,123
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Identity Subversion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,124
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Reality Distortion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,125
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Social Fragmentation,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,126
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Institutional Erosion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,127
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Democratic Threat,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,128
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,,,Civilizational Risk,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,129
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Personal Integrity,Assessment of threat impact on personal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,130
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Relational Integrity,Assessment of threat impact on relational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,131
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Societal Integrity,Assessment of threat impact on societal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,132
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Truth Integrity,Assessment of threat impact on truth integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,133
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Spiritual Integrity,Assessment of threat impact on spiritual integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,134
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Cognitive Integrity,Assessment of threat impact on cognitive integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,135
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Temporal Integrity,Assessment of threat impact on temporal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,136
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Privacy Integrity,Assessment of threat impact on privacy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,137
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Security Integrity,Assessment of threat impact on security integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,138
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Democratic Integrity,Assessment of threat impact on democratic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,139
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Economic Integrity,Assessment of threat impact on economic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,140
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Cultural Integrity,Assessment of threat impact on cultural integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,141
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Educational Integrity,Assessment of threat impact on educational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,142
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Scientific Integrity,Assessment of threat impact on scientific integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,143
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Institutional Integrity,Assessment of threat impact on institutional integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,144
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Legal Integrity,Assessment of threat impact on legal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,145
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Ethical Integrity,Assessment of threat impact on ethical integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,146
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Environmental Integrity,Assessment of threat impact on environmental integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,147
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Technological Integrity,Assessment of threat impact on technological integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,148
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Communication Integrity,Assessment of threat impact on communication integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,149
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Memory Integrity,Assessment of threat impact on memory integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,150
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Identity Integrity,Assessment of threat impact on identity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,151
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Autonomy Integrity,Assessment of threat impact on autonomy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,152
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Trust Integrity,Assessment of threat impact on trust integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,153
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Transparency Integrity,Assessment of threat impact on transparency integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,154
DARPA Jupiter Framework,Academic and tactical variants of distributed computing for battlefield use,Accountability Integrity,Assessment of threat impact on accountability integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,155
